[2021-02-04 15:37:17] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:18] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:18] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:19] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:19] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:19] | DEBUG | Sending stop | Line:106
[2021-02-04 15:37:19] | DEBUG | task canceled | Line:63
[2021-02-04 15:37:31] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:31] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:32] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:32] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:33] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:33] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:34] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:34] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:35] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:35] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:35] | DEBUG | Sending stop | Line:106
[2021-02-04 15:37:35] | DEBUG | task canceled | Line:63
[2021-02-04 15:37:47] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:47] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:48] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:48] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:49] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:49] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:50] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:50] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:51] | DEBUG | 100;100;100 | Line:71
[2021-02-04 15:37:51] | INFO | Punto scansionato in => (x:100; y:100; z:100) | Line:76
[2021-02-04 15:37:52] | DEBUG | Sending stop | Line:106
[2021-02-04 15:37:52] | DEBUG | task canceled | Line:63
